cứng đờ đờ,stiff,
spin,spin,
không tinh tế,not subtle,
bạc phơ,silver phoenix,
băng giấy,paper tape,
thấu chi,overdraft,
ngồi lại,sit back,
chia buồn,condolatory,
cầm lấy,Take it,
giấy mời,appointment,
sự phát triển,evolution,
trường huấn luyện,training school,
đỉnh đầu,Vertex,
huyên hoang khoác lác,bragging vanity,
sự sạch sẽ,clean,
từ lóng,slang,
sự mất trí,lunacy,
chuyên gia pháp lý,legal expert,
đính chính,corrections,
đã rút gọn,shortened,
lòng ghen tị,jealousy,
chìa khóa trao tay,turnkey,
kéo tỉa,trimming scissors,
ngọn gió,wind,
đơn thư,letters,
không thấy được,can not see,
trụi lá,shed,
trộn lẫn vào,mix in,
kể đến,mention,
chương trình phụ,sub program,
nữ kiệt,female masterpiece,
cơ quan tư pháp,judicial authorities,
mỏ cặp,pair mine,
xoáy thuận nhiệt đới,tropical cyclone,
gạch lát nền,tiles,
giấy xuất cảnh,exit paper,
vuốt ngược,swipe back,
quy tắc hành nghề,code of practice,
chim đậu,perching bird,
nỗi khổ sở,suffering,
huyết động,hemodynamics,
người đề nghị,proponent,
thuyết thần học,theology,
không chắc,not sure,
bản cáo trạng,Indictment,
ngành sư phạm,pedagogy,
công ti,company,
ống ngắm,viewfinder,
bộ dụng cụ,kits,
máy nén,compressor,
phi vật thể,Intangible,
dong,VND,
nhà sinh vật học,biologist,
người phiến loạn,insurgent,
thủ tục hình sự,criminal proceedings,
sự lắng xuống,deposition,
xiên xẹo,skewers,
loãng ra,dilution,
giảm tải,offload,
sự hiểu nhau,mutual understanding,
vương quốc,Kingdom,
điều truyền bá,propaganda,
cây cà phê,coffee tree,
thành tích chói lọi,brilliant achievement,
sự luận bàn,discussion,
sự tố cáo,denunciation,
đơn tính,unisexual,
phiên họp,meeting,
miếng lót,pads,
giá treo cổ,gallows,
người cứu hỏa,fireman,
người quý phái,gentleman,
thức ăn vặt,snacks,
bích họa,nice picture,
nhà máy sản xuất,factory,
phản bác,rebuttal,
coi là,considered,
che khuất,hidden,
bớt xớ,less frizzy,
phi kim,nonmetal,
sự bốc cháy,burning,
nội tỉnh,provincial,
băng đảng,gang,
bầu bí,pregnant,
khối lập phương,Cube,
văn vắt,literature,
nơi neo đậu,anchorage place,
lầm bầm lầm bầm,mumble mumble mumble,
nhóm tứ tấu,quartet group,
hoà giải,reconciliation,
buổi dạ hội,gala evening,
đốm màu,color spots,
xương đòn,bone,
sự không tuân lệnh,disobedience,
kẻ gian lận,cheater,
sự thăm dò,exploration,
hạt nhân nguyên tử,nuclear,
tù nhân,prisoner,
mẫu thử,sample,
sự sắp đặt trước,provision,
kỳ nghỉ,vacation,
mô cơ,muscle tissue,
nắm giữ,holding,
sự bất hòa,conflict,
giáo đoàn,congregation,
dù rằng,though,
lời mời,invitation,
cậu bé,boy,
tung lên,bounce,
bị bắt giữ,arrested,
đầu đàn,leader,
kính quang học,optical glass,
đơn giản hóa,simplify,
thế chấp,Mortgage,
bàn trang điểm,makeup table,
không cân bằng,unbalanced,
vết cắt,Cut,
sự lừa bịp,juggle,
độ chừng,about,
bị loại bỏ,removed,
vũ phu,brute force,
tràn tới,overflowing,
tinh diệu,exquisite,
gấu trúc,panda,
phim hoạt hình,cartoon,
phát cuồng,mad,
tính chọn lọc,selectivity,
oanh tạc cơ,bombardier,
gộp vào,included in,
phong thánh,canonization,
di cảo,postscripts,
tàu thuyền,ships,
vũ công ballet,ballet dancer,
công ty tư nhân,Private company,
sự rùng mình,creep,
sút bóng,kick the ball,
tranh khỏa thân,nude paintings,
được đa số phiếu,get a majority of votes,
thuyền buồm,sailboat,
sự ghê sợ,horror,
hướng lên trời,towards the sky,
bước đột phá,breakthrough,
thu tiền,collect money,
cơ bắp,muscle,
thuộc lòng,by heart,
chảy mạnh,strong flow,
chồng lên,stack up,
sự huyền bí,mystery,
tạo oxy,make oxygen,
lễ Giáng sinh,Christmas,isSuper
thuận tay phải,right-handed,
đánh đổ,overturned,
hồ bơi,pool,
nữ hội đồng,female council,
bơi vào,swim in,
chưa biết đến,unknown,
hay cười,often smile,
phá sập,demolished,
ổ cắm,Sockets,
có kinh nghiệm,experienced,
toà thị chính,town hall,
làm đẹp,beautify,
đề án,scheme,
kê chân,footrest,
phá trụi,destroy,
tinh tuý,quintessence,
bỗ bã,frivolous,
nhìn lên,look up,
đẻ ra,born,
ánh sáng vũ trụ,cosmic light,
kháng axit,acid resistance,
đau lưng,back-ache,
máy lát đá,stone paving machine,
đầu phục,surrender,
dị tật,deformity,
tư cách đạo đức,ethics,
bên trái,left,
xen canh,intercropping,
chết tiệt,Damned,
ruồi trắng,white fly,
voi ma mút,mammoth,
bản in thử,proof,
sự giao cấu,intercourse,
mít ướt,wet,
bệnh lý học,pathology,
bong ra,Slough off,
cắt ra từng mảnh,cut to pieces,
bất quá,however,
chộp bắt,catch,
dây thòng lọng,Lasso,
ngoài trái đất,extraterrestrial,
đồ bạc,silverware,
cọ vẽ,paintbrush,
bị gián đoạn,interruption,
che kín,cover up,
bệnh hủi,leprosy,
cuộc họp mặt,the meeting,
rảnh rỗi,free,
dễ bị ảnh hưởng,vulnerable,
chợ đen,black market,
người châu á,Asian people,
đàn bò,cows,
cao răng,tartar,
người sáng lập,founder,
gió giật,Gale,
bậc số,degree,
sự phân mảnh,fragmentation,
tuyến bã nhờn,sebaceous glands,
không có giá trị,void,
kẻ phạm pháp,delinquent,
dư chấn,aftershocks,
trẻ nhất,youngest,
sự hồi chuyển,rotation,
người thực thi,executor,
vố,capital,
cơ địa,atopic,
tác nghiệp,Operational,
nhạc đệm,accompaniment,
tập thể hóa,collectivization,
cô nàng,girl,
mômen,torque,
sản ​​phẩm,product,
tật nguyền,handicapped,
tàu lượn siêu tốc,roller coaster,
giáp gianh,armor,
coi trọng,seriously,
sự dày vò,torment,
độ chói,luminance,
sự không chắc chắn,uncertainty,
cuốn sách,book,
biotit,biotite,
công bằng,fair,
sự hưng thịnh,prosperity,
dông tố,storm,
catôt,cathode,
sự phục tùng,submission,
ra ngoài,go out,
điền vào,fill in,
đứng đắn,earnest,
ti vi,television,
sóng cồn,tidal wave,
hôn nhau,Kissing,
bệnh than,anthrax,
nền văn hóa,culture,
giai cấp lao động,working class,
vô tuyến điện,radio,
tái hôn,remarried,
khúc điệp,chorus,
cuồng dại,crazy,
con đực,male,
sự thưởng ngoạn,contemplation,
vật vã,struggling,
có tiềm năng,potential,
kẻ đồng lõa,accomplice,
chòng,dawg,
bằng mọi cách,by anyway,
sự chê trách,reproach,
chữ thập,cross,
do đó,therefore,
chăn thả,grazing,
không che đậy,unconcealed,
đánh bạc bịp,cheat gambling,
bệnh lý,pathological,
bức vẽ,painting,
không phiền phức,plain,
Đại tá,Colonel,isSuper
khúc ca,song,
đĩa ghi âm,recording disc,
sự lo ngại,worry,
hàng hoá,goods,
giá phải trả,price to pay,
kháng thuốc,drug resistance,
lớp da non,film,
sự may rủi,fortunate,
cắt cụt,amputation,
vết nhơ,dirty,
cầu kéo,drawbridge,
ý riêng,own opinion,
thuyết phiếm thần,pantheism,
két bạc,safe deposit box,
sự đầy đủ,sufficiency,
biến thức,metamorphosis,
luồn lách,wriggle,
không được giải đáp,unanswered,
đoạn trích dẫn,Excerpt,
làm khó xử,make trouble,
cõi tiên,The realms,
sự không nhất quán,inconsistency,
khuyến mãi,promotion,
chặt đầu,beheading,
mũ rơm,straw hat,
nghệ thuật tạo hình,visual arts,
đầu to,big head,
nhà phát minh,inventor,
thuộc dạng số,numeric,
làm ngắn,make short,
vật che chở,shield,
nhà ngoại giao,diplomat,
ba má,Parent,
pha loãng,dilution,
nồi hơi,boilers,
sự buồn rầu,unhappiness,
plasma,plasma,
mùi hắc,pungent odor,
giải nén,decompression,
bồ tạt,potash,
trang web,webpage,
tình thương,love,
đắm chìm,Immerse yourself,
huỷ,cancel,
vòng đệm,Rings,
kẻ gian dối,cheater,
sự chuyên tâm,attentiveness,
chân trắng,white feet,
bộ môn,subject,
tùy tiện,arbitrarily,
điều khoản,rules,
sự vụng về,gawky,
đan móc,knitting,
nhập cư,immigration,
nhà thuốc,drugstore,
có đầu óc,minded,
sự hứng thú,the interest,
tiệc cưới,wedding,
người bán buôn,businessman,
chữ trinh,virgin letters,
băng vệ sinh,sanitary napkin,
sự trục xuất,deportation,
sự khó ở,hardship,
tiêu chảy,diarrhea,
trớ ra,spit it out,
bình phong,screen,
hoa dại,wildflowers,
nép mình,ensconce,
hình ảnh,image,
đám đông,crowd,
sự chống lại,protest,
thuế trực thu,direct tax,
hun khói,smoke,
trải rộng,spread,
ưu tú,excellence,
khung ảnh,picture frame,
hạ thấp bản thân,lower yourself,
sự hoàn thiện,completion,
tiệm ăn,restaurant,
u tuyến,adenoma,
sự bi quan,pessimism,
mì ống,the pasta,
ức đoán,guess,
hòa mình,immersed,
biến chuyển,change,
hóa lý,physical chemistry,
nhuộm màu,dye,
duỗi ra,stretch out,
đoản,short,
đẻ non,premature birth,
thuốc trừ sâu,pesticides,
viêm da,dermatitis,
dịch vụ,service,
khả năng mở rộng,Ability of extension,
đĩ thoã,slut,
căn bệnh,disease,
sản ​​xuất,production,
mụn nước,blisters,
thư rác,spam,
phân đốt,dung,
sự ghi công,attribution,
ống tay áo,sleeve,
khả năng thiên bẩm,natural ability,
phân ra,divided,
tính không ổn định,instability,
lá cây,leaf,
hiến tặng,donate,
tính phản xạ,reflexivity,
màn hình,screen,
đóng nhãn,label,
chủ thuê,landlord,
chiêu hồi,cooldown,
pháp y,forensics,
đắm tàu,shipwreck,
cách xử sự,manners,
thứ Tư,Wednesday,isSuper
đáng thất vọng,disappointed,
chinh phục,conquer,
nhà đầu tư,Investors,
đệm vai,shoulder pads,
ngụp lặn,dive,
đả động đến,refer to,
sự cưu mang,adoption,
váng men,glaze,
hấp thu,absorb,
ngoại phạm,alibi,
sự liên quan,relation,
bỗng đâu,where suddenly,
gửi đi,send,
đất sét,clay,
người dễ xúc cảm,emotional person,
phân giải hạt nhân,nuclear fission,
nữ chủ quyền,female sovereign,
thương tật,injured,
sự sám hối,attrition,
hình hài,shape,
khu du lịch,tourist area,
ấn bản,edition,
thần tài,God of wealth,
cỗ máy,machine,
bình cũ rượu mới,old bottle new wine,
trên cạn,land,
basic,basic,
Đồng phục,Uniform,isSuper
de,de,
không tặc,hijack,
ví dụ,For example,
chèo kéo,entice,
ung thư dạ dày,stomach cancer,
chất dẻo,plastic,
yêu thương,love,
điểm số,scores,
đúng lúc,well-timed,
chủ nghĩa quốc tế,internationalism,
sâu nặng,deep,
hoang sơ,wild,
bỏ ​​cuộc,give up,
rời đi,leave,
thần nữ,goddess,
hàng rong,street vendors,
đẻ con,give birth,
tòa nhà,building,
tương thích,Compatible,
vây hãm,siege,
hộ gia đình,family,
châu Á,Asia,isSuper
cục bộ,Local,
sự thoái thác,subterfuge,
chăm chỉ,hard-working,
ca-pô,bonnet,
bà nội trợ,housewife,
hộp sọ,skull,
vi tinh,microcomputer,
vạch biên giới,bound,
bãi rào,fence,
sóng xung kích,Shockwave,
đáng chê,deplorable,
đánh cáp,cabling,
lạnh cứng,deep freeze,
ý đồ xấu,bad intentions,
cần tây,celery,
làm xáo trộn,tamper,
thoáng gió,airy,
bài phát biểu,speech,
mù mờ,hazy,
hoà ước,peace treaty,
sự cần thiết,the need,
sửa lại,fix,
nước trung lập,neutral,
cứu khỏi,save from,
khung gầm,chassis,
ôxy,oxygen,
viện dẫn,quote,
uy nghiêm,grave,
đi trễ,be late,
điện dung,capacitance,
con trai,Boy,
hình sự,Criminal,
bịt lại,clog,
nắn hình,shape shaping,
sự kết hôn,marriage,
sự tỏ lòng kính trọng,homage,
chỗ ẩn náu,asylum,
sự toại nguyện,satisfaction,
buồn nản,depressed,
người thượng cổ,cave-man,
đơn thuần,Simple,
hiếp tróc,rape,
tỉ trọng,density,
cho bú,breast-feeding,
co thắt,spasms,
chất màu,colorants,
đan xen,interleaving,
lập nên,formed,
đũng,crotch,
chủ nghĩa vô chính phủ,anarchism,
dạn dĩ,fearless,
lúm đồng tiền,dimples,
bị kẹt,got stuck,
án lệ,precedent,
phía đông,east,
chuột đồng,vole,
xúi bẩy,instigate,
thẳng tuột,straight,
vang dội,reverberate,
phép tịnh tiến,translation spells,
cây gỗ,Wood tree,
suy sụp,depressed,
sinh vật phù du,plankton,
dị phân,heterodimer,
sự thúc đẩy,impulse,
sự phòng ngự,defense,
người phân xử,arbitrator,
dẫn lưu,drainage,
bếp trưởng,Chef,
lưu đày,Exile,
thuyết nhiều thần,polytheism,
bị kiểm soát,controlled,
vì chưng,why?,
bão bùng,storm flare,
điều lệ,regulations,
tàu buôn,merchant,
suy nhược thần kinh,neurasthenia,
đại trượng phu,Upright man,
trang chủ,home page,
ngôn ngữ tự nhiên,natural language,
nuối tiếc,regrets,
cung kính,Revere,
con thứ,second child,
sự rối loạn,disruption,
chưởng lý,attorney,
sự thống khổ,anguish,
sự giam giữ,detention,
bàn chân,foot,
dùng chung,Shared,
sự sùng kính,reverence,
líu ríu,chirping,
đứng bóng,afterimage,
dịch nhầy,gel,
sóng não,Brainwave,
thật vậy,indeed,
sự bàn bạc,counsel,
khử nhiễm,Decontamination,
hóa lỏng,liquefied,
điện dẫn,conduct electricity,
đụng độ,conflict,
gặp sự cố,crash,
tách ra,detached,
thời tương lai,future times,
chăm bón,fertilization,
hợp đồng bảo hiểm,an insurance contract,
ve vãn,flirt,
hòa nhập,get on well,
bình diện,plane,
bố thí,charity,
lực đòn bẩy,leverage,
sự chuyển đổi,convert,
đa sắc tộc,multiethnic,
mất trắng,lost,
Áp kế,Manometer,isSuper
sắc nét,high solution,
phế liệu,Scrap,
dạng thức,equality,
cao đường,high street,
sự hồi phục,the recuperation,
bồi tụ,accretion,
sự lôi cuốn,attractive,
trải nghiệm,experience,
bóng vía,astral shadow,
vui mừng,delighted,
sự thêu dệt,embroidery,
nam châm vĩnh cửu,permanent magnets,
trang phục thể thao,sports clothes,
mối thù hằn,spite,
hành vi phạm tội,offense,
sự hoang vắng,desolation,
xe khách,coach,
tự hỏi,wonder,
bịa chuyện,lie,
sự tăng vọt,surge,
đơn vị tiền tệ,currency unit,
hay biết,good to know,
bì sì,packaging,
đồn điền,plantation,
ông phỗng,Mr. Phong,
kế sinh nhai,livelihood,
diềm,frill,
sự bố trí,arrangement,
tự hạ thấp bản thân,lower yourself,
xấc láo,insolent,
rụng lông,hair loss,
sức chịu đựng,endurance,
tủ đông,freezer,
rỉ rả,rustle,
sự đồng hóa,assimilation,
nhét gọn,compact,
bình yên,peaceful,
dịch hoàn,complete translation,
làm vui lòng,Pleasant,
ăn lên,eat up,
phân hóa,decomposition,
có lòng tốt,kindly,
mạnh nhất,strongest,
chuếnh choáng,stun,
lại gần,get close,
tình bạn,friendship,
chèo thuyền,rowing,
nợ khó đòi,doubtful debts,
bỏ trốn,escape,
hồng phấn,Pink,
ván khuôn,formwork,
liên lục địa,intercontinental,
làm riêng,do it yourself,
cổ kính,ancient,
sự phán quyết,award,
cảm thấy,feel,
bộ cánh,wings,
vận động viên thể thao,sports athlete,
máy bay lên thẳng,helicopter,
bọc sắt,ironclad,
giặt giạ,laundry,
hắc ám,Dark,
giật lấy,snatch,
quay tròn,twirl,
bề trái,reverse,
hiệu năng,performance,
phát sóng,broadcasting,
sự thù hằn,enmity,
không muốn,do not want,
khuyên lơn,dissuade,
nông trại,farm,
dung tha,spare,
dốc sức,devoted,
ngoặc vuông,bracket,
mái vòm,Dome,
dài lê thê,long,
quay lại,come back,
hiếu kỳ,curious,
sự truyền giáo,predication,
chân thật,honest,
vị kỷ,selfishness,
hạch thần kinh,nerve knot,
hoa râm,grizzly,
ô nhiễm nước,pollution water,
sự lúng túng,embarrassment,
mài sắc,sharpened,
luận ra,deduce,
in dấu,imprint,
bấy giờ,at that time,
không trong sạch,not clear,
sự hội chẩn,consultation,
sự hăm doạ,intimidation,
kín kẽ,secret,
nung chảy,fusing,
quyền miễn trừ,immunity,
động não,brainstorm,
độ nhạy,sensitivity,
quen việc,accustomed to,
không giống nhau,dissimilarity,
nút bấm,button,
kẹt lại,stuck,
kêu inh ỏi,loudly,
tiền lãi,interest,
nỗi đau khổ,suffering,
phác đồ,regimen,
bà hoàng,Queen,
băm nát,crushed,
thấy trước,foresee,
đèn pha,headlight,
vòng trong,ring in,
cống nạp,tribute,
đi tiểu,pee,
cầu khẩn,beg,
huỷ bỏ,cancel,
chủ nghĩa quân phiệt,militarism,
xối nước,throw the water,
cục điều tra liên bang,Federal Bureau of Investigation,
mật hiệu,countersign,
siêu mịn,super smooth,
mở khoá,unlock,
tiền chuộc,ransom,
rọi sáng,shine,
chịu tổn thất,suffered,
Đánh nhau,Fight,isSuper
sự giải thoát,rescue,
sự chuyển động,move,
trường mầm non,preschool,
vượt thời gian,beyond time,
bất trung,unfaithful,
dân thành thị,urban residents,
băng gạc,gauze bandages,
thông nhau,communicate with each other,
sự thèm khát,craving,
chấp nối,connect,
sữa bột,powdered milk,
sự vui đùa,jocularity,
chính giữa,between,
phong ấn,seal,
nỗi sợ hãi,Fearful,
hệ thập phân,decimal system,
kỳ kế toán,accounting period,
đất trồng,arable land,
đau bụng,stomach-ache,
chủ nghĩa thực dân mới,new colonialism,
chín mé,nine meters,
phân loại học,taxonomy,
hùng mạnh,powerful,
cứng đờ,stiff,
tây tạng,Tibet,
nấu cơm,Cook rice,
lời kháng nghị,protest,
sức lôi cuốn,charisma,
kẻ thù,enemy,
sự quan tâm,attention,
chia tay,farewell,
bị chi phối,is dominated,
chủ nghĩa duy vật biện chứng,dialectical materialism,
ơn trời,thank God,
chính hiệu,genuine,
vuột,slip,
chậm chân,slow,
bánh rán,donuts,
đội tàu,fleet,
gây lo lắng,cause anxiety,
cầu phương,quadrature,
sự gắng sức,fetch,
bài ngoại,xenophobia,
lấy cắp,stolen,
thoát vị rốn,umbilical hernia,
anh túc,Poppy,
ngọt dịu,sweet,
sự gian lận,cheating,
ngôi nhà,house,
sự chấn động,concussion,
độ cứng,stiffness,
bà đồng,clairvoyant,
dân dụng,civil,
người truyền cảm hứng,inspirational person,
châu phi,Africa,
xầm xì,murmur,
anh hùng chủ nghĩa,heroism,
người xúi giục,instigator,
nhiệt hoá học,thermochemistry,
đẹp trai,Handsome,
tế bào máu,blood cells,
cực nhọc,hard,
bí ngô,pumpkin,
sự đồi bại,corruption,
sự trầm lặng,silence,
buổi trưa,noon,
tìm đến,find,
bản mẫu,template,
chật ních,bumper,
tôm sú,black tiger shrimp,
chủ nghĩa siêu thực,Surrealism,
đáng mơ ước,dreamy,
làm rò rỉ,leak,
đò ngang,horizontal boat,
sự khắc nghiệt,harshness,
tính đa dạng,various of,
sự hoại tử,necrosis,
bị đánh gục,knocked down,
cải trang,disguise,
anh em ruột,sibling,
sự biến đổi,change,
đáng nỗ lực,worth the effort,
bị thu nhỏ,shrunk,
sự thông thái,intelligent,
thanh thế,prestige,
động tĩnh,static movement,
kinh tế vĩ mô,macroeconomic,
tái bảo hiểm,reinsurance,
sai phạm,violations,
tính phí,charge,
dấu ngoặc kép,quotes,
sự chấm dứt,termination,
sờ nắn,palpate,
đầy ý nghĩa,meaningful,
cắt tiết,cut off,
sự tìm kiếm,searching,
lùng tìm,search,
sunfat,sulphate,
đánh mở đầu,opening hit,
thương mến,dear,
sự ảnh hưởng,affection,
tính vi mô,micro,
bị phủ quyết,vetoed,
cô đọng,condensed,
châu lệ,Chau Le,
tiến lên,go ahead,
va trúng,hit,
nhà từ thiện,charity house,
trồng rừng,afforestation,
sự nhiễm trùng,infection,
chịu trách nhiệm,in charge of,
tiền cước,fare,
sự áp dụng,application,
tuyệt cú mèo,awesome,
sự cân xứng,proportion,
bị coi thường,despised,
rợn người,chillingly,
bị làm giả,faked,
chữ viết,writing,
làm đứt,break,
làm nguôi,quell,
dạng chữ,letter form,
ba ngôi,trinity,
bất thần,suddenly,
trạc tuổi,about age,
chắn ngang,barrier,
rạp chiếu phim,cinema,
đốt sống,vertebrae,
yếu tố gây nhiễu,confounding factors,
vụ kiện dân sự,civil lawsuit,
cuốn theo,gone to,
vụ việc,case,
đền bồi,compensation,
đau xót,pain,
diễn xuất,acting,
dưỡng bệnh,convalescence,
xum xuê,luxuriant,
sự giả mạo,forgery,
sự gấp rút,haste,
bay phấp phới,fluttering,
bất đồng quan điểm,Dissent,
làm mê mẩn,narcotic,
rạp xi nê,cinema,
chuyên chế,peremptory,
lời qua tiếng lại,back and forth,
bị can thiệp,interfered,
tranh sơn dầu,oil paint,
dáng dấp,appearance,
sự tán sắc,dispersion,
bịt kín,sealed,
tính xã hội,sociability,
chữ ký,signature,
thuốc giảm đau,analgesic,
sự phân chia,division,
chí nguyện quân,volunteer,
sai suất,error rate,
hiếm khi,seldom,
cùng chiều,same afternoon,
sự che chở,protection,
tơ tằm,silk,
nền đất,platform,
xúm xít,gravitate,
người dẫn đầu,leader,
tình hình khó khăn,difficult situation,
chắc rằng,sure,
mạnh khoẻ,healthy,
pin mặt trời,solar battery,
khói thuốc,smoke,
bộ phóng điện,discharger,
gà gật,nodding,
xúc tác,catalysis,
nơi trú,shelter,
vôi sống,quicklime,
bồn tắm,bathtub,
xếp chặt,tightly packed,
sự hội ý,consultation,
sự già nua,old age,
kho chứa,Depot,
hóa đá,turn to stone,
tụm lại,huddle together,
vô căn cứ,unfounded,
mài giũa,honed,
làm nổ,detonate,
người cố chấp,intransigent,
lòng tự ái,narcissism,
công năng,performance,
cơ ngơi,property,
thằng thừng,boy,
khí độc,poison gas,
xem xét tỉ mỉ,scrutinize,
viết hoa,Capitalization,
ngước lên,glance up,
chích chòe,Magpies,
máy bay không người lái,Unmanned aircraft,
quá bận rộn,too busy,
biết bao,Additional info,
đếm ngược,countdown,
máy rung,vibrator,
sự chua chát,sting,
bảnh choẹ,handsome,
chuyên khoa,specialist,
xuất khẩu,export,
ngâm mình,dip,
chủ nghĩa cộng sản,communism,
xảo trá,craftily,
vô học,uneducated,
anh cả,oldest brother,
chính phủ,government,
có mặt,present,
bị che đậy,covered up,
đối thủ,competitor,
đổ dồn,accumulating,
đủ đầy,full,
trò láu cá,trick,
sự tận tâm,thoroughness,
mọi thời đại,All Time,
bị bóc lột,Being exploited,
nhanh miệng,quick mouth,
gà con,chicken,
sự trung gian,mediation,
tình thần,love,
thai chết lưu,stillbirth,
sự thuyết minh,interpretation,
sự nấu chảy,melting,
cận nhiệt đới,subtropical,
thư viện chương trình,program library,
sự tán xạ,scattering,
hết tốc lực,lick,
sự dạy dỗ,upbringing,
sự lưỡng lự,hesitation,
sự gây hại,harm,
chế độ mẫu hệ,Matriarchy,
bình phương,square,
hạm trưởng,captain,
gợi lên,evoked,
thuật lại,report,
sự công khai,publicity,
nắn lại,rectify,
thắp hương,incense,
chân chính,TRUE,
nhẹ bâng,lighthearted,
Đập,Beat,isSuper
hơi nước,steam,
sự hoài niệm,nostalgia,
tinh linh,spirits,
nói rõ,clarify,
tính đồng nhất,consistency,
máy bay cánh quạt,propeller plane,
bao cao su,condom,
máy khoan,drill,
sự biếng nhác,idleness,
chưa từng biết đến,never known,
buồn ngủ,asleep,
chỉnh nha,orthodontic,
khốc,fierce,
hao phí,waste,
sữa đậu nành,Soymilk,
sự non nớt,immaturity,
vũ trường,discotheque,
thảm lót,Carpets,
quýt,tangerine,
mưa như trút nước,raining cats and dogs,
sự tan vỡ,breakup,
